F1::#!!I,F2::Tool,F3::Feature,F4::Unit,F5::Value,,,,,
27,Multiple Calipers,Distances0001,Pixel,,33.36,102.85,,,
,,,,,,,,,
28,Multiple Calipers,Distances0001,Pixel,,31,81,,,
,,,,,,,,,
29,Length,Distance,Pixel,126,,,,,
30,Length,Distance,Pixel,76,,,,,
31,Length,Distance,Pixel,39,,,,,
32,Length,Distance,Pixel,53.24,,,,,
33,Length,Distance,Pixel,84.02,,,,,
34,Line,Length,Pixel,83.01,,,,,
35,Line,Length,Pixel,26,,,,,
36,Line,Length,Pixel,44,,,,,
37,Line,Length,Pixel,40,,,,,
38,Line,Length,Pixel,59,,,,,
39,Line,Length,Pixel,67,,,,,
40,Line,Length,Pixel,148.17,,,,,
41,Line,Length,Pixel,65.03,,,,,
42,Length,Distance,Pixel,62.13,,,,,
43,Length,Distance,Pixel,24.02,,,,,
44,Length,Distance,Pixel,60.53,,,,,
45,Line,Length,Pixel,73.33,,,,,
46,Line,Length,Pixel,54,,,,,
47,Line,Length,Pixel,50.99,,,,,
48,Multiple Calipers,Distances0001,Pixel,,19,54,,,
,,,,,,,,,
49,Length,Distance,Pixel,53,,,,,
50,Length,Distance,Pixel,49,,,,,
51,Length,Distance,Pixel,38,,,,,
1,Line,Length,Pixel,53.01,,,,,
2,Line,Length,Pixel,44.28,,,,,
3,Line,Length,Pixel,32.14,,,,,
4,Line,Length,Pixel,52,,,,,
5,Line,Length,Pixel,81.15,,,,,
6,Line,Length,Pixel,46,,,,,
7,Line,Length,Pixel,103,,,,,
8,Line,Length,Pixel,38,,,,,
9,Line,Length,Pixel,67,,,,,
10,Line,Length,Pixel,50,,,,,
11,Line,Length,Pixel,35,,,,,
12,Length,Distance,Pixel,90,,,,,
13,Length,Distance,Pixel,50,,,,,
14,Length,Distance,Pixel,55,,,,,
15,Length,Distance,Pixel,96.05,,,,,
16,Multiple Calipers,Distances0001,Pixel,,70.91,131.58,,,
,,,,,,,,,
17,Multiple Calipers,Distances0001,Pixel,,59,88,,,
,,,,,,,,,
18,Multiple Calipers,Distances0001,Pixel,,29,119,,,
,,,,,,,,,
19,Multiple Calipers,Distances0001,Pixel,,64,79,,,
,,,,,,,,,
20,Multiple Calipers,Distances0001,Pixel,,72,140,,,
,,,,,,,,,
21,Multiple Calipers,Distances0001,Pixel,,13.2,52.11,,,
,,,,,,,,,
22,Multiple Calipers,Distances0001,Pixel,,18,61,,,
,,,,,,,,,
23,Multiple Calipers,Distances0001,Pixel,,38,76,,,
,,,,,,,,,
24,Multiple Calipers,Distances0001,Pixel,,20,55,131,,
,,,,,,,,,
,,,,,,,,,
25,Multiple Calipers,Distances0001,Pixel,,43.4,141.13,,,
,,,,,,,,,
26,Multiple Calipers,Distances0001,Pixel,,39,99,,,
,,,,,,,,,
27,Multiple Calipers,Distances0001,Pixel,,29,76,,,
,,,,,,,,,
28,Multiple Calipers,Distances0001,Pixel,,29,73,,,
,,,,,,,,,
29,Multiple Calipers,Distances0001,Pixel,,30,126,,,
,,,,,,,,,
30,Multiple Calipers,Distances0001,Pixel,,43.11,115.72,,,
,,,,,,,,,
31,Multiple Distance,Distances0001,Pixel,,29,64,105,,
,,,,,,,,,
,,,,,,,,,
32,Multiple Calipers,Distances0001,Pixel,,40,119,,,
,,,,,,,,,
33,Multiple Calipers,Distances0001,Pixel,,109,172,,,
,,,,,,,,,
34,Multiple Distance,Distances0001,Pixel,,61,122,176,,
,,,,,,,,,
,,,,,,,,,
35,Multiple Calipers,Distances0001,Pixel,,32,94,131,,
,,,,,,,,,
,,,,,,,,,
36,Multiple Calipers,Distances0001,Pixel,,35,90,,,
,,,,,,,,,
37,Multiple Calipers,Distances0001,Pixel,,36,116,,,
,,,,,,,,,
38,Line,Length,Pixel,75.06,,,,,
39,Length,Distance,Pixel,65,,,,,
40,Multiple Calipers,Distances0001,Pixel,,30.08,97.93,114.78,,
,,,,,,,,,
,,,,,,,,,
41,Multiple Calipers,Distances0001,Pixel,,14,52,,,
,,,,,,,,,
42,Multiple Distance,Distances0001,Pixel,,59,105,140,,
,,,,,,,,,
,,,,,,,,,
43,Multiple Calipers,Distances0001,Pixel,,36,74,,,
,,,,,,,,,
44,Length,Distance,Pixel,28.07,,,,,
45,Length,Distance,Pixel,39.01,,,,,
1,Line,Length,Pixel,113.11,,,,,
2,Line,Length,Pixel,45.4,,,,,
3,Line,Length,Pixel,64,,,,,
4,Line,Length,Pixel,64,,,,,
5,Line,Length,Pixel,82,,,,,
6,Line,Length,Pixel,38,,,,,
7,Line,Length,Pixel,29.61,,,,,
8,Line,Length,Pixel,58,,,,,
9,Line,Length,Pixel,43,,,,,
10,Multiple Calipers,Distances0001,Pixel,,25,171,206,,
,,,,,,,,,
,,,,,,,,,
11,Length,Distance,Pixel,39,,,,,
12,Multiple Calipers,Distances0001,Pixel,,55,216,,,
,,,,,,,,,
13,Multiple Calipers,Distances0001,Pixel,,28,168,222,,
,,,,,,,,,
,,,,,,,,,
14,Multiple Calipers,Distances0001,Pixel,,43.43,146.43,195.62,,
,,,,,,,,,
,,,,,,,,,
15,Multiple Calipers,Distances0001,Pixel,,90.36,166.65,,,
,,,,,,,,,
16,Multiple Calipers,Distances0001,Pixel,,61,132,,,
,,,,,,,,,
17,Multiple Calipers,Distances0001,Pixel,,43,110,,,
,,,,,,,,,
18,Multiple Calipers,Distances0001,Pixel,,21.3,81.37,123.22,,
,,,,,,,,,
,,,,,,,,,
19,Multiple Distance,Distances0001,Pixel,,38,53,91,114,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
20,Multiple Calipers,Distances0001,Pixel,,20,114,154,,
,,,,,,,,,
,,,,,,,,,
21,Multiple Calipers,Distances0001,Pixel,,28,152,,,
,,,,,,,,,
22,Line,Length,Pixel,45.01,,,,,
23,Line,Length,Pixel,50.01,,,,,
24,Line,Length,Pixel,93.05,,,,,
25,Multiple Calipers,Distances0001,Pixel,,35,60,,,
,,,,,,,,,
26,Multiple Calipers,Distances0001,Pixel,,65,91,,,
,,,,,,,,,
27,Multiple Calipers,Distances0001,Pixel,,33,108,,,
,,,,,,,,,
28,Multiple Calipers,Distances0001,Pixel,,23,86,137,,
,,,,,,,,,
,,,,,,,,,
29,Multiple Calipers,Distances0001,Pixel,,37.58,108.23,,,
,,,,,,,,,
30,Multiple Calipers,Distances0001,Pixel,,46,90,,,
,,,,,,,,,
1,Multiple Calipers,Distances0001,Pixel,,58.61,114.22,,,
,,,,,,,,,
2,Multiple Calipers,Distances0001,Pixel,,37.41,81.58,,,
,,,,,,,,,
3,Multiple Calipers,Distances0001,Pixel,,45,123,,,
,,,,,,,,,
